Symbol,Date,VOL,Open,High,Low,Close,Volume
ES=F,2026-09-14 08:27:00,,7608.25,7609,7606,7607,995
ES=F,2026-09-14 08:28:00,,7606.75,7608,7605.75,7607.75,1700
ES=F,2026-09-14 08:29:00,,7607.5,7608.75,7606,7606.25,3372
ES=F,2026-09-14 08:30:00,,7606.5,7608.5,7603,7603.75,12533
ES=F,2026-09-14 08:31:00,,7603.5,7606.75,7602.25,7604.75,9594
ES=F,2026-09-14 08:32:00,,7604.5,7607.75,7604,7606.5,3490
ES=F,2026-09-14 08:33:00,,7606.75,7607,7604.25,7604.25,3531
ES=F,2026-09-14 08:34:00,,7604.25,7605.25,7603,7603,5713
ES=F,2026-09-14 08:35:00,,7603.25,7605.25,7602.25,7604,4688
ES=F,2026-09-14 08:36:00,,7604,7604.25,7601.5,7602,4798
ES=F,2026-09-14 08:37:00,,7602,7603.75,7601.25,7602.25,5354
ES=F,2026-09-14 08:38:00,,7602.25,7603.5,7601,7602.25,8194
ES=F,2026-09-14 08:39:00,,7602,7603,7601.25,7602,5148
ES=F,2026-09-14 08:40:00,,7602,7607,7601,7606.25,13097
ES=F,2026-09-14 08:41:00,,7606.25,7607.25,7604.75,7607,4738
ES=F,2026-09-14 08:42:00,,7606.75,7609.5,7606.5,7609,4050
ES=F,2026-09-14 08:43:00,,7608.75,7610.25,7608.25,7608.75,4205
ES=F,2026-09-14 08:44:00,,7608.75,7611.5,7608.75,7610.5,4676
ES=F,2026-09-14 08:45:00,,7610.5,7613.5,7610.25,7611.25,4654
ES=F,2026-09-14 08:46:00,,7611.25,7613.25,7611.25,7612.25,8543
ES=F,2026-09-14 08:47:00,,7612,7615.75,7612,7615.75,6672
ES=F,2026-09-14 08:48:00,,7616,7618,7614.75,7617.75,7784
ES=F,2026-09-14 08:49:00,,7617.75,7622.25,7617.75,7619.25,7955
ES=F,2026-09-14 08:50:00,,7619.25,7622.25,7619.25,7620,5261
