Symbol,Date,VOL,Open,High,Low,Close,Volume
NQ=F,2026-08-28 08:27:00,,29627.25,29637.25,29622.5,29627.75,505
NQ=F,2026-08-28 08:28:00,,29627.5,29644.75,29627.5,29643.5,621
NQ=F,2026-08-28 08:29:00,,29642.75,29646.25,29628,29628,696
NQ=F,2026-08-28 08:30:00,,29628,29637,29596.75,29610.5,4960
NQ=F,2026-08-28 08:31:00,,29610.75,29613,29571.75,29573.25,4264
NQ=F,2026-08-28 08:32:00,,29573,29592,29567,29582.75,2886
NQ=F,2026-08-28 08:33:00,,29583.5,29591.25,29562.75,29583,2924
NQ=F,2026-08-28 08:34:00,,29582.25,29605.75,29578.25,29605.75,2568
NQ=F,2026-08-28 08:35:00,,29605,29613.75,29585.75,29600,2713
NQ=F,2026-08-28 08:36:00,,29599.75,29629.75,29592,29627,2764
NQ=F,2026-08-28 08:37:00,,29628.5,29648.5,29619,29621.25,2719
NQ=F,2026-08-28 08:38:00,,29621.75,29648,29620.25,29648,1684
NQ=F,2026-08-28 08:39:00,,29648,29659.75,29640,29651.25,1969
NQ=F,2026-08-28 08:40:00,,29651.75,29694.75,29648.75,29692.5,2840
NQ=F,2026-08-28 08:41:00,,29693.5,29699,29686.25,29697.75,1682
NQ=F,2026-08-28 08:42:00,,29698.75,29700,29677.5,29694.75,1806
NQ=F,2026-08-28 08:43:00,,29695,29701.75,29680.75,29693.25,1557
NQ=F,2026-08-28 08:44:00,,29693.75,29696.25,29677.5,29687.75,1156
NQ=F,2026-08-28 08:45:00,,29687.25,29695,29660,29679.75,2547
NQ=F,2026-08-28 08:46:00,,29680.75,29681.25,29663.25,29672.25,1426
NQ=F,2026-08-28 08:47:00,,29673,29684.75,29661.5,29683,1290
NQ=F,2026-08-28 08:48:00,,29683.75,29701.5,29681,29696.25,1720
NQ=F,2026-08-28 08:49:00,,29696.5,29703.25,29654,29657.75,2825
NQ=F,2026-08-28 08:50:00,,29658.5,29669.5,29650,29652.5,1901
NQ=F,2026-08-28 08:51:00,,29653.5,29655,29628.75,29638,1915
NQ=F,2026-08-28 08:52:00,,29638.75,29652,29625,29631.75,1521
NQ=F,2026-08-28 08:53:00,,29632,29650.5,29631.25,29645.5,1090
NQ=F,2026-08-28 08:54:00,,29646,29652.5,29633.25,29633.5,1120
NQ=F,2026-08-28 08:55:00,,29634.75,29643.5,29629.5,29633.5,1021
NQ=F,2026-08-28 08:56:00,,29633,29655,29631.75,29650.25,1102
NQ=F,2026-08-28 08:57:00,,29650.75,29657.75,29640.25,29649.75,1049
